Países;Sexo;Periodo;Total
Polonia;Mujeres;2021;93,1
Polonia;Mujeres;2020;92,1
Polonia;Mujeres;2019;93,2
Polonia;Mujeres;2018;92,8
Polonia;Mujeres;2017;92,6
Polonia;Mujeres;2016;92,7
Polonia;Mujeres;2015;93,5
Polonia;Mujeres;2014;93,6
Polonia;Hombres;2021;88,2
Polonia;Hombres;2020;87,9
Polonia;Hombres;2019;88,4
Polonia;Hombres;2018;89,6
Polonia;Hombres;2017;88,6
Polonia;Hombres;2016;89
Polonia;Hombres;2015;88,3
Polonia;Hombres;2014;87,4
Portugal;Mujeres;2021;92,6
Portugal;Mujeres;2020;90,6
Portugal;Mujeres;2019;87,2
Portugal;Mujeres;2018;85,2
Portugal;Mujeres;2017;83,4
Portugal;Mujeres;2016;82,3
Portugal;Mujeres;2015;82
Portugal;Mujeres;2014;76,8
Portugal;Hombres;2021;86,7
Portugal;Hombres;2020;80,1
Portugal;Hombres;2019;78,6
Portugal;Hombres;2018;76,6
Portugal;Hombres;2017;73,7
Portugal;Hombres;2016;72,8
Portugal;Hombres;2015;72
Portugal;Hombres;2014;67,4
Rumanía;Mujeres;2021;82,6
Rumanía;Mujeres;2020;81,7
Rumanía;Mujeres;2019;83
Rumanía;Mujeres;2018;81,7
Rumanía;Mujeres;2017;79,5
Rumanía;Mujeres;2016;79,3
Rumanía;Mujeres;2015;80,2
Rumanía;Mujeres;2014;81,1
Rumanía;Hombres;2021;84
Rumanía;Hombres;2020;84,3
Rumanía;Hombres;2019;83,8
Rumanía;Hombres;2018;81,6
Rumanía;Hombres;2017;80
Rumanía;Hombres;2016;80,5
Rumanía;Hombres;2015;79,3
Rumanía;Hombres;2014;78,4
Eslovenia;Mujeres;2021;96,7
Eslovenia;Mujeres;2020;94
Eslovenia;Mujeres;2019;93,5
Eslovenia;Mujeres;2018;93,7
Eslovenia;Mujeres;2017;93,8
Eslovenia;Mujeres;2016;94,1
Eslovenia;Mujeres;2015;93,7
Eslovenia;Mujeres;2014;93,3
Eslovenia;Hombres;2021;92,1
Eslovenia;Hombres;2020;91,7
Eslovenia;Hombres;2019;91,5
Eslovenia;Hombres;2018;89,5
Eslovenia;Hombres;2017;88,9
Eslovenia;Hombres;2016;87,6
Eslovenia;Hombres;2015;88
Eslovenia;Hombres;2014;87,3
República Eslovaca;Mujeres;2021;89,3
República Eslovaca;Mujeres;2020;89,2
República Eslovaca;Mujeres;2019;89,9
República Eslovaca;Mujeres;2018;89,1
República Eslovaca;Mujeres;2017;87,6
República Eslovaca;Mujeres;2016;90,3
República Eslovaca;Mujeres;2015;91,3
República Eslovaca;Mujeres;2014;91,3
República Eslovaca;Hombres;2021;89,3
República Eslovaca;Hombres;2020;90,1
República Eslovaca;Hombres;2019;89,9
República Eslovaca;Hombres;2018;89,7
República Eslovaca;Hombres;2017;90
República Eslovaca;Hombres;2016;90,5
República Eslovaca;Hombres;2015;91,4
República Eslovaca;Hombres;2014;90,6
Finlandia;Mujeres;2021;88,7
Finlandia;Mujeres;2020;90,2
Finlandia;Mujeres;2019;88,6
Finlandia;Mujeres;2018;88,2
Finlandia;Mujeres;2017;88,5
Finlandia;Mujeres;2016;89,3
Finlandia;Mujeres;2015;88,9
Finlandia;Mujeres;2014;88,9
Finlandia;Hombres;2021;86,5
Finlandia;Hombres;2020;88
Finlandia;Hombres;2019;87,9
Finlandia;Hombres;2018;86,5
Finlandia;Hombres;2017;86,1
Finlandia;Hombres;2016;86,2
Finlandia;Hombres;2015;84,6
Finlandia;Hombres;2014;83,9
Suecia;Mujeres;2021;86,6
Suecia;Mujeres;2020;86,4
Suecia;Mujeres;2019;88,1
Suecia;Mujeres;2018;87,4
Suecia;Mujeres;2017;86
Suecia;Mujeres;2016;88,2
Suecia;Mujeres;2015;88,7
Suecia;Mujeres;2014;88,7
Suecia;Hombres;2021;79,7
Suecia;Hombres;2020;80,1
Suecia;Hombres;2019;81,4
Suecia;Hombres;2018;83,3
Suecia;Hombres;2017;85,3
Suecia;Hombres;2016;85,7
Suecia;Hombres;2015;86
Suecia;Hombres;2014;85,2
Reino Unido;Mujeres;2021;..
Reino Unido;Mujeres;2020;..
Reino Unido;Mujeres;2019;88
Reino Unido;Mujeres;2018;88,2
Reino Unido;Mujeres;2017;87,8
Reino Unido;Mujeres;2016;87,6
Reino Unido;Mujeres;2015;86,9
Reino Unido;Mujeres;2014;85,4
Reino Unido;Hombres;2021;..
Reino Unido;Hombres;2020;..
Reino Unido;Hombres;2019;84
Reino Unido;Hombres;2018;83,6
Reino Unido;Hombres;2017;83,4
Reino Unido;Hombres;2016;82,7
Reino Unido;Hombres;2015;84,6
Reino Unido;Hombres;2014;82,6
