Campo de estudio;Países;Periodo;Total
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2020;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2019;1
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2018;1
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2017;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2016;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2015;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2014;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2020;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2019;1
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2018;1
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2017;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2016;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2015;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2014;..
09 Salud y servicios sociales;España;2020;11,6
09 Salud y servicios sociales;España;2019;11,3
09 Salud y servicios sociales;España;2018;11
09 Salud y servicios sociales;España;2017;10,7
09 Salud y servicios sociales;España;2016;10,3
09 Salud y servicios sociales;España;2015;9,9
09 Salud y servicios sociales;España;2014;9,8
09 Salud y servicios sociales;UE-28;2020;..
09 Salud y servicios sociales;UE-28;2019;9,8
09 Salud y servicios sociales;UE-28;2018;9,8
09 Salud y servicios sociales;UE-28;2017;..
09 Salud y servicios sociales;UE-28;2016;..
09 Salud y servicios sociales;UE-28;2015;..
09 Salud y servicios sociales;UE-28;2014;..
09 Salud y servicios sociales;UE27_2020;2020;..
09 Salud y servicios sociales;UE27_2020;2019;9,5
09 Salud y servicios sociales;UE27_2020;2018;9,6
09 Salud y servicios sociales;UE27_2020;2017;..
09 Salud y servicios sociales;UE27_2020;2016;..
09 Salud y servicios sociales;UE27_2020;2015;..
09 Salud y servicios sociales;UE27_2020;2014;..
10 Servicios;España;2020;2,7
10 Servicios;España;2019;2,7
10 Servicios;España;2018;2,7
10 Servicios;España;2017;2,7
10 Servicios;España;2016;2,7
10 Servicios;España;2015;2,7
10 Servicios;España;2014;2,6
10 Servicios;UE-28;2020;..
10 Servicios;UE-28;2019;2,1
10 Servicios;UE-28;2018;1,7
